pairing_id,timing,buyer,mode,run_idx,kind,total_calendar_s,total_active_s,final_tier,dnf,dnf_reason_category,dnf_reason,final_mass,t1_entry_s,t2_entry_s,t3_entry_s,t4_entry_s,t1_active_s,t2_active_s,t3_active_s,t4_active_s,t1_exit_mass,t2_exit_mass,t3_exit_mass,t4_exit_mass
p1,realistic-engaged,comp-hoarder,completion,39,engagement-profile,115011.14,8100.00,4,N,,,8328825.13,0.00,700.00,42008.06,114115.14,0.00,3600.00,3600.00,900.00,1.0062e+0,5.3934e+5,2.6391e+8,
p1,realistic-engaged,comp-hoarder,completion,40,engagement-profile,134155.13,9900.00,4,N,,,1372058.87,0.00,700.00,14150.49,133258.13,0.00,3600.00,5400.00,900.00,1.0062e+0,1.4830e+5,1.6477e+7,
p1,realistic-engaged,comp-hoarder,completion,41,engagement-profile,97012.09,9900.00,4,N,,,6208814.89,0.00,700.00,6099.62,96115.09,0.00,3600.00,5400.00,900.00,1.0062e+0,3.5291e+4,4.0096e+7,
p1,realistic-engaged,comp-hoarder,completion,42,engagement-profile,269767.04,9900.00,4,N,,,901009.87,0.00,700.00,17435.64,268871.04,0.00,3600.00,5400.00,900.00,1.0062e+0,1.9441e+5,9.0364e+7,
p1,realistic-engaged,comp-hoarder,completion,43,engagement-profile,123177.89,10800.00,4,N,,,48851711.74,0.00,700.00,6236.83,122279.89,0.00,3600.00,6300.00,900.00,1.0062e+0,3.7214e+4,8.6570e+8,
p1,realistic-engaged,comp-hoarder,completion,44,engagement-profile,115939.07,9900.00,4,N,,,299414.09,0.00,700.00,24924.81,115043.07,0.00,3600.00,5400.00,900.00,1.0062e+0,2.9953e+5,5.6767e+7,
p1,realistic-engaged,comp-hoarder,completion,45,engagement-profile,182972.07,8100.00,4,N,,,1560265.16,0.00,700.00,6182.15,182777.07,0.00,3600.00,3600.00,900.00,1.0062e+0,3.6456e+4,2.3258e+7,
p1,realistic-engaged,comp-hoarder,completion,46,engagement-profile,114478.45,8100.00,4,N,,,2819135.56,0.00,700.00,21677.71,113582.45,0.00,3600.00,3600.00,900.00,1.0062e+0,2.5396e+5,2.9082e+7,
p1,realistic-engaged,comp-hoarder,completion,47,engagement-profile,167281.52,7200.00,4,N,,,928261.99,0.00,700.00,9365.96,166389.52,0.00,3600.00,2700.00,900.00,1.0062e+0,8.1135e+4,2.6466e+7,
p1,realistic-engaged,comp-hoarder,completion,48,engagement-profile,120234.28,9000.00,4,N,,,3679827.83,0.00,700.00,23377.09,119338.28,0.00,3600.00,4500.00,900.00,1.0062e+0,2.7782e+5,5.7425e+7,
p1,realistic-engaged,comp-hoarder,completion,49,engagement-profile,251948.14,9000.00,4,N,,,3904355.36,0.00,700.00,43442.96,251052.14,0.00,3600.00,4500.00,900.00,1.0062e+0,5.5947e+5,3.0889e+7,
